t,lead_I
7953.8,190.6845076738079
7955.8,219.25593624523648
7957.8,225.82736481666504
7959.8,210.6845076738079
7961.8,200.6845076738079
7963.8,223.39879338809362
7965.8,274.2559362452365
7967.8,313.9702219595222
7969.8,311.97022195952223
7971.8,289.1130791023794
7973.8,294.11307910237934
7975.8,333.1130791023793
7977.8,354.1130791023793
7979.8,319.2559362452365
7981.8,264.6845076738079
7983.8,254.6845076738079
7985.8,290.6845076738079
7987.8,309.3987933880936
7989.8,275.25593624523646
7991.8,231.39879338809362
7993.8,237.6845076738079
7995.8,288.54165053095073
7997.8,325.39879338809357
7999.8,317.25593624523646
8001.8,293.2559362452365
8003.8,290.39879338809357
8005.8,304.25593624523646
8007.8,307.6845076738079
8009.8,291.11307910237934
8011.8,266.25593624523646
8013.78,250.11307910237932
8015.75,255.54165053095076
8017.73,276.82736481666507
8019.7,283.3987933880936
8021.7,249.11307910237934
8023.7,188.9702219595222
8025.7,145.11307910237937
8027.7,135.11307910237937
8029.7,131.9702219595222
8031.7,104.97022195952219
8033.7,64.39879338809364
8035.7,50.39879338809363
8037.7,78.9702219595222
8039.7,114.9702219595222
8041.7,111.82736481666507
8043.7,69.54165053095078
8045.7,36.2559362452365
8047.7,45.68450767380792
8049.7,71.68450767380793
8051.7,60.541650530950776
8053.7,5.970221959522206
8055.7,-38.029778040477794
8057.7,-31.74406375476351
8059.7,-8.744063754763506
8061.7,-28.601206611906363
8063.7,-91.17263518333493
8065.7,-137.88692089762066
8067.7,-133.31549232619207
8069.7,-104.17263518333493
8071.7,-93.7440637547635
8073.7,-108.31549232619207
8075.7,-116.31549232619207
8077.7,-88.17263518333495
8079.7,-31.60120661190636
8081.7,14.113079102379356
8083.7,23.97022195952221
8085.7,18.255936245236498
8087.7,35.25593624523649
8089.7,81.25593624523648
8091.7,123.39879338809362
8093.68,132.68450767380793
8095.65,122.82736481666507
8097.63,131.39879338809362
8099.6,168.82736481666504
8101.6,204.97022195952218
8103.6,209.9702219595222
8105.6,187.82736481666504
8107.6,166.68450767380793
8109.6,166.54165053095076
8111.6,180.82736481666507
8113.6,179.5416505309508
8115.6,143.11307910237934
8117.6,97.2559362452365
8119.6,90.68450767380791
8121.6,127.39879338809362
8123.6,153.6845076738079
8125.6,129.6845076738079
8127.6,84.82736481666507
8129.6,75.39879338809364
8131.6,106.54165053095078
8133.6,128.82736481666507
8135.6,107.54165053095076
8137.6,66.2559362452365
8139.6,49.970221959522206
8141.6,67.25593624523648
8143.6,86.54165053095079
8145.6,81.2559362452365
8147.6,59.25593624523649
8149.6,50.82736481666506
8151.6,76.25593624523648
8153.6,122.68450767380791
8155.6,153.39879338809362
8157.6,150.39879338809365
8159.6,139.11307910237937
8161.6,154.68450767380793
8163.6,194.54165053095076
8165.6,224.9702219595222
8167.6,227.39879338809362
8169.6,220.82736481666504
8171.6,240.11307910237932
8173.58,296.3987933880936
8175.55,359.6845076738079
8177.53,386.827364816665
8179.5,371.54165053095073
8181.5,350.39879338809357
8183.5,349.6845076738079
8185.5,343.827364816665
8187.5,288.827364816665
8189.5,187.3987933880936
8191.5,92.54165053095079
8193.5,40.684507673807936
8195.5,9.113079102379345
8197.5,-37.31549232619207
8199.5,-85.74406375476349
8201.5,-96.60120661190635
8203.5,-63.45834946904921
8205.5,-14.315492326192079
8207.5,25.25593624523649
8209.5,47.113079102379345
8211.5,59.25593624523649
8213.5,80.39879338809362
8215.5,116.39879338809362
8217.5,144.11307910237934
8219.5,138.39879338809362
8221.5,108.11307910237936
8223.5,87.11307910237934
8225.5,93.54165053095078
8227.5,113.54165053095078
8229.5,119.54165053095078
8231.5,96.82736481666507
8233.5,59.11307910237936
8235.5,43.82736481666507
8237.5,69.39879338809364
8239.5,92.54165053095078
8241.5,51.684507673807914
8243.5,-37.886920897620655
8245.5,-99.17263518333493
8247.5,-113.60120661190635
8249.5,-139.7440637547635
8251.5,-201.60120661190638
8253.48,-251.88692089762066
8255.45,-249.31549232619204
8257.43,-192.4583494690492
8259.4,-80.60120661190638
8261.4,94.97022195952219
8263.4,331.2559362452365
8265.4,625.1130791023793
8267.4,986.2559362452364
8269.4,1403.2559362452364
8271.4,1820.8273648166648
8273.4,2181.1130791023793
8275.4,2460.6845076738077
8277.4,2635.6845076738073
8279.4,2659.6845076738073
8281.4,2514.6845076738073
8283.4,2231.1130791023793
8285.4,1833.9702219595222
8287.4,1339.827364816665
8289.4,816.3987933880935
8291.4,364.5416505309506
8293.4,26.255936245236498
8295.4,-223.45834946904918
8297.4,-396.88692089762054
8299.4,-466.8869208976206
8301.4,-427.31549232619204
8303.4,-333.4583494690492
8305.4,-259.1726351833349
8307.4,-227.74406375476346
8309.4,-206.02977804047777
8311.4,-162.4583494690492
8313.4,-110.45834946904921
8315.4,-86.88692089762064
8317.4,-99.4583494690492
8319.4,-113.74406375476349
8321.4,-98.02977804047778
8323.4,-63.45834946904922
8325.4,-40.02977804047778
8327.4,-34.60120661190636
8329.4,-30.88692089762064
8331.3,-12.601206611906353
8333.3,25.68450767380792
8335.3,68.9702219595222
8337.3,86.82736481666507
8339.3,68.9702219595222
8341.3,45.11307910237935
8343.3,44.68450767380792
8345.3,56.255936245236484
8347.3,48.541650530950776
8349.3,17.97022195952221
8351.3,-6.315492326192073
8353.3,1.1130791023793511
8355.3,28.970221959522213
8357.3,38.25593624523649
8359.3,6.827364816665067
8361.3,-40.172635183334926
8363.3,-56.45834946904921
8365.3,-32.172635183334926
8367.3,-9.172635183334926
8369.3,-22.458349469049214
8371.3,-47.45834946904921
8373.3,-34.744063754763495
8375.3,16.970221959522213
8377.3,59.541650530950776
8379.3,63.2559362452365
8381.3,50.113079102379345
8383.3,52.39879338809363
8385.3,69.11307910237934
8387.3,75.54165053095076
8389.3,58.684507673807914
8391.3,29.398793388093637
8393.3,10.398793388093639
8395.3,20.113079102379352
8397.3,56.82736481666507
8399.3,94.39879338809364
8401.3,107.39879338809364
8403.28,101.68450767380791
8405.25,105.82736481666507
8407.23,130.54165053095076
8409.2,151.5416505309508
8411.2,140.11307910237932
8413.2,103.54165053095078
8415.2,84.9702219595222
8417.2,116.11307910237934
8419.2,173.97022195952218
8421.2,201.39879338809362
8423.2,178.39879338809362
8425.2,153.5416505309508
8427.2,180.82736481666507
8429.2,240.39879338809362
8431.2,261.82736481666507
8433.2,224.54165053095076
8435.2,187.68450767380793
8437.2,205.11307910237932
8439.2,254.11307910237934
8441.2,275.827364816665
8443.2,258.1130791023793
8445.2,244.11307910237934
8447.2,271.1130791023794
8449.2,326.1130791023794
8451.2,366.6845076738079
8453.2,371.9702219595222
8455.2,364.9702219595221
8457.2,380.9702219595221
8459.2,421.11307910237934
8461.2,449.25593624523646
8463.2,439.6845076738079
8465.2,410.2559362452365
8467.2,396.11307910237934
8469.2,406.68450767380796
8471.2,423.3987933880936
8473.2,428.82736481666507
8475.2,424.68450767380796
8477.2,429.2559362452365
8479.2,458.3987933880936
8481.2,503.54165053095073
8483.18,534.1130791023793
8485.15,533.8273648166651
8487.13,522.9702219595222
8489.1,535.8273648166651
8491.1,577.8273648166651
8493.1,615.3987933880936
8495.1,614.3987933880936
8497.1,588.5416505309508
8499.1,585.1130791023793
8501.1,615.2559362452365
8503.1,629.1130791023793
8505.1,584.827364816665
8507.1,513.1130791023793
8509.1,480.9702219595222
8511.1,503.2559362452365
8513.1,529.9702219595222
